
chunk_size=1024, chunk_len=265, mag_len=271000
1>chunk_idx=96, left_mag_idx=98304, right_mag_idx=99327
1>chunk_idx=97, left_mag_idx=99328, right_mag_idx=100351
1>chunk_idx=98, left_mag_idx=100352, right_mag_idx=101375
1>chunk_idx=99, left_mag_idx=101376, right_mag_idx=102399
1>chunk_idx=100, left_mag_idx=102400, right_mag_idx=103423
1>chunk_idx=101, left_mag_idx=103424, right_mag_idx=104447
1>chunk_idx=102, left_mag_idx=104448, right_mag_idx=105471
1>chunk_idx=103, left_mag_idx=105472, right_mag_idx=106495
1>chunk_idx=104, left_mag_idx=106496, right_mag_idx=107519
1>chunk_idx=105, left_mag_idx=107520, right_mag_idx=108543
1>chunk_idx=106, left_mag_idx=108544, right_mag_idx=109567
1>chunk_idx=107, left_mag_idx=109568, right_mag_idx=110591
1>chunk_idx=108, left_mag_idx=110592, right_mag_idx=111615
1>chunk_idx=109, left_mag_idx=111616, right_mag_idx=112639
1>chunk_idx=110, left_mag_idx=112640, right_mag_idx=113663
1>chunk_idx=111, left_mag_idx=113664, right_mag_idx=114687
1>chunk_idx=112, left_mag_idx=114688, right_mag_idx=115711
1>chunk_idx=113, left_mag_idx=115712, right_mag_idx=116735
1>chunk_idx=114, left_mag_idx=116736, right_mag_idx=117759
1>chunk_idx=115, left_mag_idx=117760, right_mag_idx=118783
1>chunk_idx=116, left_mag_idx=118784, right_mag_idx=119807
1>chunk_idx=117, left_mag_idx=119808, right_mag_idx=120831
1>chunk_idx=118, left_mag_idx=120832, right_mag_idx=121855
1>chunk_idx=119, left_mag_idx=121856, right_mag_idx=122879
1>chunk_idx=120, left_mag_idx=122880, right_mag_idx=123903
1>chunk_idx=121, left_mag_idx=123904, right_mag_idx=124927
1>chunk_idx=122, left_mag_idx=124928, right_mag_idx=125951
1>chunk_idx=123, left_mag_idx=125952, right_mag_idx=126975
1>chunk_idx=124, left_mag_idx=126976, right_mag_idx=127999
1>chunk_idx=125, left_mag_idx=128000, right_mag_idx=129023
1>chunk_idx=126, left_mag_idx=129024, right_mag_idx=130047
1>chunk_idx=127, left_mag_idx=130048, right_mag_idx=131071
1>chunk_idx=128, left_mag_idx=131072, right_mag_idx=132095
1>chunk_idx=129, left_mag_idx=132096, right_mag_idx=133119
1>chunk_idx=130, left_mag_idx=133120, right_mag_idx=134143
1>chunk_idx=131, left_mag_idx=134144, right_mag_idx=135167
1>chunk_idx=132, left_mag_idx=135168, right_mag_idx=136191
1>chunk_idx=133, left_mag_idx=136192, right_mag_idx=137215
1>chunk_idx=134, left_mag_idx=137216, right_mag_idx=138239
1>chunk_idx=135, left_mag_idx=138240, right_mag_idx=139263
1>chunk_idx=136, left_mag_idx=139264, right_mag_idx=140287
1>chunk_idx=137, left_mag_idx=140288, right_mag_idx=141311
1>chunk_idx=138, left_mag_idx=141312, right_mag_idx=142335
1>chunk_idx=139, left_mag_idx=142336, right_mag_idx=143359
1>chunk_idx=140, left_mag_idx=143360, right_mag_idx=144383
1>chunk_idx=141, left_mag_idx=144384, right_mag_idx=145407
1>chunk_idx=142, left_mag_idx=145408, right_mag_idx=146431
1>chunk_idx=143, left_mag_idx=146432, right_mag_idx=147455
1>chunk_idx=144, left_mag_idx=147456, right_mag_idx=148479
1>chunk_idx=145, left_mag_idx=148480, right_mag_idx=149503
1>chunk_idx=146, left_mag_idx=149504, right_mag_idx=150527
1>chunk_idx=147, left_mag_idx=150528, right_mag_idx=151551
1>chunk_idx=148, left_mag_idx=151552, right_mag_idx=152575
1>chunk_idx=149, left_mag_idx=152576, right_mag_idx=153599
1>chunk_idx=150, left_mag_idx=153600, right_mag_idx=154623
1>chunk_idx=151, left_mag_idx=154624, right_mag_idx=155647
1>chunk_idx=152, left_mag_idx=155648, right_mag_idx=156671
1>chunk_idx=153, left_mag_idx=156672, right_mag_idx=157695
1>chunk_idx=154, left_mag_idx=157696, right_mag_idx=158719
1>chunk_idx=155, left_mag_idx=158720, right_mag_idx=159743
1>chunk_idx=156, left_mag_idx=159744, right_mag_idx=160767
1>chunk_idx=157, left_mag_idx=160768, right_mag_idx=161791
1>chunk_idx=158, left_mag_idx=161792, right_mag_idx=162815
1>chunk_idx=159, left_mag_idx=162816, right_mag_idx=163839
1>chunk_idx=160, left_mag_idx=163840, right_mag_idx=164863
1>chunk_idx=161, left_mag_idx=164864, right_mag_idx=165887
1>chunk_idx=162, left_mag_idx=165888, right_mag_idx=166911
1>chunk_idx=163, left_mag_idx=166912, right_mag_idx=167935
1>chunk_idx=164, left_mag_idx=167936, right_mag_idx=168959
1>chunk_idx=165, left_mag_idx=168960, right_mag_idx=169983
